		non-prime					fractionation equation (mineral-water): A * 10^6/T^2 + B*1000/T + C																																				
D17O'water	0.01								A=	3.74		"(For Quartz, A=4.28, B=-3.5, C=0)"																-0.053			ANDERS 												
d18O'water	8	8.032085504							B=	-9.11		"(For Calcite, A= 2.78, B=0, C=-2.89)"						new calcite	2.55	0.123	0							-0.074			"ADD THESE DATA TO THE CHART! Changes ""Series 1"" to be these data"												
d17O'water	4.234	4.242976042							C=	2.52		"(For basalt, A= 3.414, B=-3.9, C=-0)"																-0.068		Sample name 	data							Cores  (Initial meteoric			Rims (Magmatic Influx)		
D17O'rock	-0.06						Theta vs. T:   Theta= 0.5305 - D/T		D=	0.807		"(For theta, Quartz= 1.85, Calcite=1.576; basalt 1.566)"							new calcite	1.43								-0.062			d'18O	D'17O					15SW3Ga-yellow	-8.487517287	-4.510155478		14SW3U-red	-3.314486848	-1.811239304
					17.06652071	-0.006540232		0.2	-11.36652071	-0.050459768								220	-0.570858222	-0.000492698							33.464	-0.087		14SW3P	-3.200315551	-1.736707203					15SW3Z-brown	-8.078442929	-4.273217201				
					14.63911475	-0.012496454		0.3	-8.939114746	-0.044503546								240	-1.026884321	-0.00095182							33.464	-0.091		14SW3AD-yellow	-8.503452087	-4.496996348					15SW3Y-brown	-8.488021549	-4.512867686				
					12.21361051	-0.01891721		0.4	-6.513610514	-0.03808279								260	-1.40704399	-0.001387245							33.464	-0.113		15SW3Y-quartz	4.166234181	2.140731997					14SW3 brown	-6.174120718	-3.291310425				
					9.78999866	-0.025798963		0.5	-4.08999866	-0.031201037								280	-1.723923495	-0.001794065							AVG	-0.092		14SW3GB quartz	3.466185831	1.797383738					14SW3G-B-pink	-7.500861255	-4.002398923				
					7.36826986	-0.033138191		0.6	-1.66826986	-0.023861809								300	-1.987765077	-0.00216989							STD	0.011880492		15SW3Wb garnet	-8.845001954	-4.687268098											
					4.948414826	-0.040931389		0.7	0.751585174	-0.016068611								320	-2.206957847	-0.002513997										15SW3AB	-1.718475734	-0.975075231											
					2.530424309	-0.049175069		0.8	3.169575691	-0.007824931								420	-2.83811631	-0.003790298							32.190	-0.088		14SW3 brown	-6.174120718	-3.291310425											
					0.114289093	-0.057865758		0.9	5.585710907	0.000865758								520	-3.020646483	-0.004477642							32.190	-0.080		15SW3B yellow	-2.402784376	-1.337994716											
					-2.3	-0.067		1	8	0.01								620	-2.991612655	-0.004775525							32.190	-0.070		15SW3O yellow	-6.813358301	-3.65336542											
							T in  C	x	d18O'rock	D17O'rock	dr17Ofinal	dr18Ofinal			dw17Ofinal	dw18Ofinal		720	-2.86130458	-0.004827911							AVG	-0.079		15SW3L yellow	-9.346644109	-4.98319552											
							65.68	0	-8	-0.06	-4.274836762	-7.968085163			-8.591738471	-16.09612577		820	-2.684231536	-0.004728717							STD	0.009245717		15SW3I-yellow	-8.385863271	-4.477006856											
